21844,jdm64,CLG,FNS,CLG,reltuC,CLG,FugLy,Liquid,hazed,CLG,tarik,CLG,adreN,Liquid,flowsicK,Liquid,nitr0,Liquid,EliGE,Liquid
21861,hazed,CLG,olofmeister,fnatic,jdm64,CLG,JW,fnatic,flusha,fnatic,tarik,CLG,reltuC,CLG,FNS,CLG,pronax,fnatic,KRIMZ,fnatic
21865,reltuC,CLG,tarik,CLG,FNS,CLG,boltz,Keyd Stars,jdm64,CLG,FalleN,Keyd Stars,fer,Keyd Stars,hazed,CLG,steel,Keyd Stars,zqkS,Keyd Stars
21872,n0thing,Cloud9,tarik,CLG,Skadoodle,Cloud9,seangares,Cloud9,freakazoid,Cloud9,FNS,CLG,shroud,Cloud9,reltuC,CLG,hazed,CLG,jdm64,CLG
21873,shroud,Cloud9,Skadoodle,Cloud9,FNS,CLG,n0thing,Cloud9,seangares,Cloud9,freakazoid,Cloud9,jdm64,CLG,tarik,CLG,reltuC,CLG,hazed,CLG
21907,jks,Renegades,jdm64,CLG,reltuC,CLG,hazed,CLG,tarik,CLG,AZR,Renegades,FNS,CLG,yam,Renegades,Havoc,Renegades,SPUNJ,Renegades
21909,hazed,CLG,jdm64,CLG,reltuC,CLG,tarik,CLG,deviaNt,Bravado,Detrony,Bravado,FNS,CLG,Flarez,Bravado,racno,Bravado,LighteRTZ,Bravado
21915,NBK-,EnVyUs,Happy,EnVyUs,tarik,CLG,SmithZz,EnVyUs,kioShiMa,EnVyUs,shox,EnVyUs,jdm64,CLG,FNS,CLG,reltuC,CLG,hazed,CLG
21998,Skadoodle,Cloud9,shroud,Cloud9,tarik,CLG,n0thing,Cloud9,freakazoid,Cloud9,jdm64,CLG,seangares,Cloud9,reltuC,CLG,sancz,CLG,hazed,CLG
22027,jdm64,CLG,tarik,CLG,hazed,CLG,sancz,CLG,EliGE,Liquid,reltuC,CLG,flowsicK,Liquid,FugLy,Liquid,adreN,Liquid,nitr0,Liquid
22028,nitr0,Liquid,EliGE,Liquid,FugLy,Liquid,flowsicK,Liquid,adreN,Liquid,tarik,CLG,jdm64,CLG,sancz,CLG,reltuC,CLG,hazed,CLG
22029,tarik,CLG,jdm64,CLG,nitr0,Liquid,hazed,CLG,FugLy,Liquid,reltuC,CLG,EliGE,Liquid,adreN,Liquid,sancz,CLG,flowsicK,Liquid
22036,reltuC,CLG,shroud,Cloud9,freakazoid,Cloud9,Skadoodle,Cloud9,jdm64,CLG,n0thing,Cloud9,sancz,CLG,tarik,CLG,seangares,Cloud9,hazed,CLG
