MatchID, Map,TeamA,TeamB,TeamAWins, TeamARounds, TeamBRounds, A1_frags, A1_assists, A1_deaths, A2_frags, A2_assists, A2_deaths, A3_frags, A3_assists, A3_deaths, A4_frags, A4_assists, A4_deaths, A5_frags, A5_assists, A5_deaths, B1_frags, B1_assists, B1_deaths, B2_frags, B2_assists, B2_deaths, B3_frags, B3_assists, B3_deaths, B4_frags, B4_assists, B4_deaths, B5_frags, B5_assists, B5_deaths
19067,inferno,Titan,PENTA,1,16,0,26,5,6,23,2,4,15,8,6,11,4,6,5,4,5,8,1,16,7,0,16,7,1,16,3,2,16,2,1,16
19068,dust2,NiP,HellRaisers,1,16,8,31,2,12,21,2,11,14,3,11,16,1,12,13,6,14,18,5,18,16,1,19,10,2,18,10,3,21,6,0,19
19069,inferno,HellRaisers,NiP,0,10,16,21,6,20,17,3,18,17,2,19,13,5,18,12,3,19,24,6,18,23,4,15,20,2,14,16,5,16,11,6,17
19070,mirage,HellRaisers,PENTA,1,16,13,28,7,19,24,3,17,18,6,19,18,7,21,12,4,19,24,5,20,23,4,20,18,7,18,18,6,22,12,1,21
19071,dust2,PENTA,HellRaisers,0,9,16,22,6,16,19,0,15,13,4,18,9,5,18,7,6,19,23,1,16,21,5,14,15,4,13,13,2,12,14,3,15
19072,dust2,Titan,NiP,0,5,16,19,0,14,13,0,18,10,2,16,9,4,18,4,4,18,20,2,10,20,3,11,16,1,9,15,5,13,13,3,12
19073,cache,NiP,Titan,1,16,14,25,4,17,27,4,22,21,5,22,19,9,21,19,4,23,31,3,22,24,3,20,21,7,21,14,3,24,15,5,24
19074,dust2,LGB,NiP,0,5,16,13,2,16,15,2,18,13,2,18,12,4,17,4,4,17,20,9,9,19,5,10,18,0,14,15,1,11,13,2,13
19075,cache,EnVyUs,Virtus.pro,1,16,10,27,7,18,24,3,13,27,5,21,18,11,16,14,2,19,22,4,22,19,6,19,20,4,24,12,5,22,14,8,23
19076,inferno,fnatic,Titan,0,12,16,22,3,18,19,3,18,18,7,20,14,6,19,17,5,21,28,4,19,21,7,15,18,8,19,13,6,17,16,1,20
19077,cache,LGB,Virtus.pro,1,16,11,28,2,15,24,2,17,15,3,15,15,3,15,15,3,16,22,2,20,17,4,18,14,3,17,14,1,22,11,2,20
19078,inferno,Titan,NiP,1,16,8,23,4,16,23,2,16,22,3,12,15,4,12,15,1,13,13,8,18,16,2,20,14,4,19,14,3,22,12,5,19
19079,nuke,EnVyUs,fnatic,0,14,16,28,1,16,24,3,19,20,5,19,16,4,22,8,6,22,22,4,16,17,3,19,22,8,22,21,6,20,16,4,19
19080,cache,fnatic,LGB,1,16,12,27,1,13,26,2,19,19,9,17,18,1,15,16,10,18,17,3,20,20,5,24,16,3,19,14,6,21,15,8,22
19081,inferno,EnVyUs,LGB,1,16,3,25,1,9,16,1,5,19,4,9,18,6,13,10,8,13,13,3,18,12,3,17,9,2,16,8,3,19,7,2,19
19082,dust2,Titan,EnVyUs,1,16,11,30,4,14,32,6,21,20,4,13,12,3,18,7,2,17,21,1,21,20,1,19,18,1,20,13,3,19,10,6,22
19083,cache,Virtus.pro,Titan,1,16,2,27,0,5,19,4,5,20,4,15,9,2,7,11,7,13,13,1,18,11,2,17,11,0,17,7,3,17,3,1,17
19085,inferno,fnatic,NiP,1,16,9,24,8,14,23,4,15,16,5,13,20,2,18,16,5,16,17,1,18,17,7,19,17,2,21,16,2,21,9,4,20
19086,cache,NiP,EnVyUs,0,13,16,31,2,22,22,4,19,13,1,21,14,5,21,13,5,24,25,3,18,20,3,15,19,6,18,23,3,21,20,10,21
19087,dust2,Titan,LGB,1,16,7,21,3,13,18,3,9,19,0,10,18,4,12,14,3,15,14,2,16,14,2,18,12,2,16,11,2,20,8,0,20
19089,dust2,EnVyUs,fnatic,1,16,13,29,7,19,26,8,18,21,5,20,18,2,15,14,3,20,27,4,22,19,5,20,16,7,22,17,3,22,13,3,23
19092,nuke,EnVyUs,fnatic,0,7,16,18,2,17,13,1,16,13,5,17,14,0,17,14,6,19,21,3,14,21,4,13,17,4,16,16,2,14,11,4,15
19093,cache,fnatic,Titan,1,16,13,27,0,16,24,4,16,20,6,18,19,9,22,14,7,16,26,2,19,24,3,21,16,6,24,13,3,21,9,5,19
19097,inferno,HellRaisers,EnVyUs,0,4,16,14,3,16,13,3,15,10,0,13,10,2,15,7,5,14,17,2,10,17,0,11,14,6,9,11,4,9,14,2,15
19098,dust2,fnatic,LGB,1,16,11,26,5,17,20,5,19,19,9,18,20,2,20,16,5,18,23,5,19,25,5,20,21,4,18,17,5,22,6,0,22
19099,cache,CLG,G2,1,16,14,27,6,21,25,2,21,23,6,22,18,5,19,14,7,24,36,2,19,20,5,20,19,1,20,17,7,24,15,4,24
19105,dust2,CLG,Titan,1,16,14,31,0,15,23,8,21,19,6,18,17,2,18,14,7,18,26,2,21,21,2,24,19,8,24,13,2,17,11,3,18
19108,inferno,CPH Wolves,LGB,0,8,16,16,3,19,16,0,16,12,6,17,11,1,17,12,6,20,20,1,11,19,4,12,17,4,13,16,4,15,17,4,16
19110,inferno,LGB,FlipSid3,1,16,11,24,4,13,23,4,17,20,3,14,17,2,15,18,8,19,25,4,15,19,5,21,14,2,24,11,3,22,9,2,20
19111,mirage,CPH Wolves,Liquid,1,16,10,25,6,17,20,2,14,17,4,15,13,2,13,9,5,16,18,6,16,18,0,20,15,4,16,12,3,15,12,2,18
19112,mirage,FlipSid3,PiTER,1,16,3,28,6,9,22,5,10,15,6,9,14,3,11,9,1,7,13,1,18,9,1,16,8,1,18,9,3,18,7,0,18
19113,nuke,Titan,CPH Wolves,1,16,4,24,4,12,24,6,11,21,5,11,13,6,9,8,5,8,12,1,17,14,1,19,10,2,18,9,3,18,6,2,18
19115,inferno,Cloud9,INSHOCK,1,16,2,25,3,3,19,3,9,14,4,8,15,2,11,12,5,9,12,3,16,11,3,17,9,0,17,7,4,18,1,0,17
19116,dust2,mousesports,KaBuM.TD,1,16,10,23,5,16,18,10,17,17,5,15,16,1,15,18,5,22,24,3,20,20,4,18,16,1,17,13,1,18,12,8,19
19117,dust2,mousesports,Cloud9,0,14,16,34,6,24,19,7,23,16,2,23,11,3,21,11,5,25,32,8,18,26,3,16,24,3,19,18,6,20,16,3,18
19118,nuke,INSHOCK,KaBuM.TD,0,11,16,22,5,20,17,6,21,17,2,20,13,2,23,8,3,22,29,6,15,23,6,17,17,3,15,20,3,16,16,2,14
19119,mirage,Vox Eminor,3DMAX,1,16,11,20,5,16,22,5,18,19,7,19,17,3,15,17,7,20,22,4,18,22,0,20,17,7,19,14,12,20,13,6,19
19120,mirage,ESC,dignitas,0,11,16,22,6,19,18,4,18,17,3,21,15,1,19,10,3,16,29,5,14,27,6,15,18,2,17,12,5,17,7,5,19
19121,mirage,3DMAX,ESC,1,16,8,24,7,10,23,4,11,17,7,13,19,4,16,13,6,13,19,1,18,13,2,20,12,2,19,12,3,19,7,3,20
19122,inferno,dignitas,Vox Eminor,0,13,16,26,5,19,22,1,17,18,4,19,17,5,19,16,6,26,25,0,21,19,5,14,20,1,21,21,2,21,15,4,22
19123,inferno,KaBuM.TD,dignitas,1,16,3,21,2,5,19,3,6,15,4,5,16,8,11,15,7,11,13,2,16,6,2,17,8,4,18,5,4,17,6,2,18
19125,cache,Virtus.pro,fnatic,0,10,16,24,5,18,19,6,17,15,2,21,17,2,21,10,2,21,27,2,14,26,1,15,18,4,20,13,2,18,14,3,19
19126,cache,fnatic,Virtus.pro,1,16,3,28,6,11,17,5,9,19,4,11,16,3,11,8,2,8,17,2,17,15,2,17,6,4,18,6,4,17,6,1,19
19127,inferno,EnVyUs,NiP,0,6,16,17,3,15,15,2,15,10,3,18,9,3,18,8,1,18,20,3,13,20,3,11,14,2,10,17,3,13,13,4,12
19128,dust2,NiP,EnVyUs,1,16,14,28,4,23,21,4,19,22,9,22,19,2,22,15,5,23,26,3,20,27,3,21,24,3,22,17,3,19,14,4,23
19129,cobblestone,EnVyUs,Virtus.pro,0,10,16,18,2,17,19,5,20,15,7,21,16,2,24,10,2,22,34,6,15,25,0,12,15,3,15,17,1,16,13,9,20
