18646,5,26,
21484,1,20,24.0,0.0,9.0,
20676,1,30,24.0,8.0,19.0,
20677,3,30,20.0,3.0,22.0,
27772,5,20,9.0,1.0,0.45,
21861,2,28,22.0,3.0,16.0,
23044,4,22,16.0,2.0,13.0,
23045,4,24,18.0,1.0,13.0,
27958,4,28,18.0,2.0,23.0,
21907,1,29,22.0,4.0,20.0,
25105,1,27,23.0,2.0,12.0,
23659,2,27,18.0,2.0,15.0,
21865,4,25,13.0,3.0,15.0,
23884,1,28,27.0,4.0,14.0,
23595,2,26,15.0,3.0,15.0,
23596,1,22,27.0,3.0,10.0,
25503,5,28,14.0,4.0,21.0,
28373,2,19,12.0,1.0,0.86,
25505,2,19,9.0,3.0,18.0,
22835,3,30,20.0,2.0,22.0,
22836,3,26,18.0,0.0,14.0,
27809,2,30,24.0,4.0,1.26,
27837,1,26,20.0,1.0,0.95,
21764,5,25,14.0,3.0,22.0,
27769,5,20,14.0,9.0,0.93,
27768,4,30,21.0,4.0,1.0,
21760,5,27,13.0,4.0,15.0,
27762,1,22,19.0,2.0,1.19,
27761,1,28,24.0,2.0,1.41,
27889,1,28,33.0,2.0,16.0,
26503,1,28,28.0,5.0,18.0,
25254,3,26,14.0,1.0,16.0,
23299,3,20,9.0,2.0,17.0,
23298,3,30,22.0,4.0,18.0,
28997,2,24,20.0,3.0,1.54,
25253,2,25,21.0,1.0,17.0,
23127,3,19,19.0,5.0,10.0,
25180,1,27,29.0,1.0,20.0,
23768,2,29,23.0,2.0,17.0,
23767,4,25,14.0,2.0,13.0,
23766,5,29,14.0,1.0,20.0,
23763,4,25,15.0,5.0,16.0,
23762,2,18,19.0,7.0,8.0,
21915,2,26,18.0,2.0,19.0,
24784,2,20,16.0,2.0,6.0,
24780,4,27,14.0,2.0,21.0,
27771,2,20,11.0,0.0,0.58,
24782,4,29,17.0,3.0,22.0,
23374,2,21,23.0,1.0,12.0,
25107,1,22,19.0,1.0,18.0,
25106,2,27,21.0,5.0,21.0,
28126,4,21,14.0,5.0,1.4,
23373,5,27,16.0,8.0,19.0,
24662,1,27,24.0,3.0,20.0,
25781,1,30,25.0,4.0,17.0,
25813,4,26,22.0,2.0,18.0,
25812,4,18,15.0,2.0,8.0,
25666,3,26,15.0,1.0,19.0,
24088,1,19,25.0,1.0,7.0,
25660,1,29,24.0,2.0,20.0,
22238,4,29,15.0,4.0,21.0,
21844,1,26,25.0,4.0,12.0,
27938,5,24,14.0,1.0,18.0,
25726,2,29,16.0,4.0,19.0,
25720,2,28,27.0,3.0,17.0,
21843,5,27,13.0,7.0,20.0,
22152,1,29,25.0,3.0,18.0,
20355,2,17,18.0,1.0,6.0,
22150,2,28,19.0,2.0,20.0,
23262,2,20,9.0,1.0,18.0,
23260,3,30,20.0,5.0,20.0,
23261,4,30,15.0,1.0,17.0,
23301,1,27,29.0,3.0,16.0,
23300,4,30,21.0,7.0,20.0,
23302,4,29,18.0,5.0,18.0,
25442,2,22,21.0,4.0,10.0,
26559,3,22,11.0,4.0,18.0,
22994,2,22,22.0,7.0,12.0,
22992,5,18,14.0,5.0,7.0,
21998,2,26,16.0,3.0,19.0,
25504,3,27,22.0,4.0,15.0,
24779,1,29,22.0,3.0,16.0,
27142,1,19,26.0,3.0,11.0,
27141,4,30,20.0,6.0,23.0,
25810,4,26,12.0,3.0,18.0,
28129,2,22,21.0,2.0,1.75,
20852,1,28,24.0,1.0,17.0,
27781,1,29,24.0,2.0,1.33,
27338,3,24,18.0,3.0,13.0,
27890,4,21,7.0,1.0,16.0,
28414,4,27,14.0,3.0,0.67,
28330,5,30,14.0,4.0,0.74,
22027,1,21,20.0,6.0,6.0,
27852,5,20,3.0,1.0,0.17,
22784,2,30,20.0,2.0,22.0,
22785,1,29,24.0,2.0,15.0,
22782,2,23,20.0,4.0,11.0,
22783,1,25,21.0,4.0,19.0,
22029,2,28,24.0,5.0,16.0,
22028,2,19,12.0,1.0,16.0,
26544,5,25,8.0,5.0,19.0,
26545,2,30,24.0,2.0,17.0,
28416,3,26,13.0,0.0,0.57,
23709,1,17,21.0,2.0,7.0,
21598,2,27,21.0,0.0,17.0,
24206,4,30,19.0,3.0,19.0,
24209,4,17,14.0,3.0,6.0,
24208,2,24,19.0,3.0,10.0,
28415,1,27,24.0,1.0,1.41,
22147,1,28,28.0,2.0,18.0,
21329,1,22,25.0,1.0,11.0,
22141,3,25,14.0,3.0,15.0,
22142,4,30,16.0,4.0,19.0,
27856,2,30,22.0,9.0,1.0,
27987,2,22,14.0,3.0,18.0,
27143,3,27,17.0,5.0,16.0,
27986,4,21,7.0,3.0,17.0,
21752,3,28,18.0,0.0,20.0,
28151,1,17,12.0,1.0,0.8,
25872,1,23,27.0,2.0,10.0,
22256,3,30,18.0,1.0,18.0,
23140,1,17,21.0,3.0,9.0,
23129,1,22,20.0,1.0,8.0,
23128,3,17,6.0,1.0,17.0,
22036,2,28,18.0,5.0,18.0,
22037,4,25,11.0,4.0,19.0,
21126,2,28,20.0,4.0,18.0,
21125,1,26,23.0,2.0,13.0,
25234,1,28,22.0,3.0,15.0,
24420,3,21,20.0,3.0,12.0,
25782,5,28,14.0,4.0,16.0,
24089,3,22,17.0,5.0,13.0,
21335,2,29,24.0,6.0,16.0,
21332,1,30,33.0,4.0,17.0,
28350,4,29,15.0,4.0,0.79,
21522,2,27,24.0,4.0,15.0,
21684,4,18,15.0,4.0,7.0,
25238,2,30,20.0,4.0,18.0,
26504,3,23,14.0,3.0,18.0,
