MatchID, Map,TeamAWins, TeamARounds, TeamBRounds, A1_frags, A1_assists, A1_deaths, A2_frags, A2_assists, A2_deaths, A3_frags, A3_assists, A3_deaths, A4_frags, A4_assists, A4_deaths, A5_frags, A5_assists, A5_deaths, B1_frags, B1_assists, B1_deaths, B2_frags, B2_assists, B2_deaths, B3_frags, B3_assists, B3_deaths, B4_frags, B4_assists, B4_deaths, B5_frags, B5_assists, B5_deaths
27118,overpass,0, 10, 16,20 ,2,16,17 ,4,18,17 ,0,19,17 ,4,19,10 ,5,21,28 ,1,15,18 ,1,15,17 ,5,18,17 ,5,17,13 ,2,16
27119,cache,0, 5, 16,14 ,2,18,11 ,2,16,12 ,2,18,12 ,2,18,8 ,1,18,25 ,5,13,20 ,3,11,18 ,3,9,12 ,4,9,13 ,5,15
27120,inferno,0, 13, 16,23 ,3,22,23 ,1,20,21 ,2,19,16 ,5,19,11 ,4,22,29 ,4,15,22 ,3,21,21 ,5,22,14 ,3,16,16 ,4,20
27121,cache,0, 12, 16,26 ,5,17,24 ,1,19,19 ,5,23,16 ,5,23,13 ,4,23,25 ,7,18,24 ,4,19,19 ,3,20,20 ,3,19,17 ,2,22
27122,mirage,0, 6, 16,27 ,2,18,14 ,2,17,15 ,3,19,10 ,2,19,7 ,5,20,30 ,3,14,21 ,5,18,14 ,1,12,15 ,4,13,13 ,2,16
27123,train,0, 14, 16,25 ,3,25,23 ,2,24,23 ,5,26,17 ,3,25,12 ,10,22,35 ,4,21,26 ,6,18,21 ,6,17,20 ,7,20,19 ,11,24
27124,mirage,0, 6, 16,17 ,4,16,16 ,3,19,12 ,3,19,12 ,4,22,6 ,5,21,20 ,3,9,24 ,8,12,21 ,6,13,18 ,6,15,14 ,6,15
27125,cache,1, 16, 9,25 ,6,21,21 ,6,17,20 ,4,16,14 ,1,15,13 ,4,16,22 ,2,20,23 ,3,19,20 ,3,18,11 ,3,18,9 ,3,18
27126,mirage,0, 13, 16,24 ,3,16,27 ,4,21,22 ,7,19,15 ,6,21,14 ,6,21,30 ,4,22,24 ,2,19,19 ,2,20,14 ,2,22,11 ,3,19
27127,dust2,1, 16, 12,28 ,5,14,21 ,4,13,20 ,1,17,18 ,5,19,15 ,5,18,19 ,4,21,20 ,2,20,14 ,2,20,15 ,3,19,12 ,5,22
27128,cache,0, 13, 16,20 ,4,20,19 ,5,20,20 ,6,23,17 ,5,24,15 ,5,23,31 ,6,19,27 ,2,21,22 ,7,17,17 ,1,18,13 ,2,16
27129,dust2,0, 6, 16,15 ,4,18,13 ,6,17,13 ,1,18,11 ,2,17,4 ,4,17,28 ,6,9,18 ,3,10,13 ,4,12,13 ,0,11,15 ,1,14
27130,cache,0, 12, 16,22 ,6,19,21 ,4,19,18 ,4,21,16 ,2,20,12 ,5,20,28 ,5,16,22 ,4,17,17 ,4,16,17 ,3,18,15 ,5,22
27131,cobblestone,0, 10, 16,21 ,2,19,17 ,3,20,13 ,3,19,15 ,3,23,11 ,3,23,32 ,7,13,20 ,6,15,18 ,5,17,18 ,4,16,15 ,1,16
27136,mirage,1, 16, 1,28 ,5,7,16 ,2,6,16 ,1,8,10 ,4,10,11 ,4,10,11 ,3,16,11 ,0,16,8 ,0,16,6 ,1,16,5 ,4,17
27137,dust2,0, 13, 16,31 ,7,21,22 ,5,20,24 ,3,20,14 ,5,19,10 ,3,22,25 ,6,22,23 ,0,19,21 ,7,19,17 ,4,19,16 ,3,22
27138,cache,0, 11, 16,20 ,5,19,19 ,5,17,18 ,2,19,17 ,6,22,13 ,1,20,21 ,2,16,23 ,4,20,21 ,3,18,17 ,1,16,15 ,2,18
27139,train,1, 16, 10,28 ,6,15,24 ,3,16,21 ,5,19,17 ,5,21,15 ,3,21,23 ,3,20,18 ,2,18,19 ,1,22,20 ,3,22,12 ,6,23
27140,mirage,1, 16, 11,24 ,5,14,23 ,5,15,23 ,3,19,19 ,5,21,15 ,2,19,21 ,3,18,19 ,2,21,16 ,4,20,18 ,4,23,14 ,1,22
27141,dust2,0, 14, 16,35 ,1,20,20 ,4,19,17 ,6,18,20 ,6,23,15 ,7,21,29 ,7,24,22 ,2,20,20 ,3,21,17 ,3,22,13 ,7,20
27142,cobblestone,1, 16, 3,26 ,3,11,22 ,4,12,15 ,5,7,13 ,4,11,10 ,5,9,12 ,2,17,11 ,3,17,10 ,3,17,10 ,2,17,7 ,4,18
27143,cache,0, 11, 16,25 ,4,18,19 ,7,25,16 ,4,18,15 ,4,17,12 ,1,20,25 ,4,16,23 ,4,15,17 ,5,16,16 ,6,18,17 ,7,22
27144,dust2,0, 8, 16,14 ,3,17,18 ,4,22,15 ,3,19,13 ,4,18,6 ,2,20,27 ,2,13,24 ,3,13,18 ,3,12,13 ,2,13,14 ,4,15
27145,cache,0, 5, 16,13 ,7,16,14 ,3,17,15 ,1,18,11 ,3,19,11 ,4,17,22 ,6,13,19 ,4,15,17 ,1,11,14 ,3,10,15 ,5,15
27146,cache,0, 12, 16,28 ,2,20,19 ,5,20,19 ,0,21,16 ,3,20,15 ,2,22,32 ,4,16,21 ,5,17,21 ,4,19,18 ,5,23,11 ,9,22
27147,inferno,0, 9, 16,24 ,0,20,17 ,3,20,13 ,3,17,9 ,3,19,9 ,3,23,24 ,4,11,24 ,2,15,18 ,4,13,17 ,7,18,16 ,4,16
27148,cobblestone,1, 16, 1,26 ,3,5,16 ,2,6,16 ,4,9,15 ,4,7,10 ,3,5,8 ,2,16,10 ,0,17,7 ,1,16,4 ,1,17,3 ,2,17
27149,inferno,1, 16, 2,22 ,2,6,21 ,2,9,17 ,2,10,13 ,5,7,12 ,5,9,8 ,1,16,10 ,4,17,8 ,2,17,8 ,3,18,7 ,0,17
27150,cache,1, 16, 2,25 ,3,3,21 ,3,7,14 ,1,7,14 ,2,6,9 ,2,11,13 ,2,16,6 ,1,16,7 ,0,18,4 ,4,16,4 ,2,17
27151,mirage,0, 10, 16,25 ,7,17,22 ,3,20,14 ,3,19,12 ,5,19,13 ,3,21,22 ,7,16,23 ,4,16,18 ,8,17,17 ,4,18,16 ,4,19
27152,inferno,0, 12, 16,31 ,3,21,26 ,1,22,16 ,4,19,14 ,3,20,14 ,6,20,24 ,2,17,23 ,4,22,23 ,7,19,18 ,5,21,14 ,4,22
27155,cache,1, 16, 7,26 ,3,10,24 ,5,17,17 ,4,10,17 ,8,14,12 ,4,17,21 ,2,20,13 ,3,18,14 ,3,20,12 ,4,19,8 ,0,19
27156,inferno,1, 16, 10,29 ,8,14,29 ,7,15,25 ,4,19,14 ,5,19,10 ,6,16,27 ,3,22,19 ,2,24,15 ,2,19,13 ,5,21,8 ,6,21
27157,cache,1, 16, 8,24 ,4,16,23 ,3,17,19 ,10,12,18 ,2,11,17 ,3,10,17 ,4,20,17 ,4,19,14 ,3,20,10 ,0,21,7 ,6,21
27158,dust2,1, 16, 4,22 ,3,9,20 ,4,9,18 ,8,9,16 ,4,10,14 ,2,11,14 ,1,19,9 ,1,17,9 ,3,17,9 ,0,18,7 ,3,19
27159,mirage,1, 16, 5,22 ,4,12,19 ,3,11,18 ,4,13,17 ,2,13,16 ,3,12,14 ,1,17,15 ,4,18,14 ,5,18,11 ,5,19,7 ,4,20
27160,dust2,0, 4, 16,18 ,1,18,15 ,1,17,14 ,3,17,10 ,4,17,8 ,3,19,23 ,7,11,23 ,1,13,15 ,2,13,15 ,4,14,12 ,7,14
27161,inferno,0, 10, 16,22 ,3,20,18 ,5,23,16 ,2,21,15 ,10,23,13 ,3,22,28 ,4,11,27 ,5,17,21 ,6,16,19 ,3,20,14 ,5,20
27162,mirage,1, 16, 3,22 ,2,10,19 ,2,12,16 ,4,10,14 ,2,8,17 ,6,12,15 ,0,17,13 ,1,17,10 ,3,19,7 ,0,17,7 ,2,18
27163,cache,0, 4, 16,17 ,2,18,11 ,2,18,9 ,2,18,7 ,1,16,6 ,2,18,32 ,2,9,21 ,2,10,17 ,4,10,12 ,7,11,6 ,3,10
27164,inferno,1, 16, 8,26 ,2,12,25 ,4,12,16 ,4,13,17 ,5,16,14 ,0,15,17 ,2,18,17 ,1,18,14 ,9,19,10 ,1,21,10 ,1,22
27167,dust2,1, 16, 14,35 ,5,18,32 ,3,21,16 ,2,22,15 ,10,23,13 ,9,20,30 ,6,21,32 ,4,26,18 ,5,20,14 ,4,20,10 ,5,24
27168,mirage,0, 4, 16,25 ,1,15,20 ,1,17,8 ,2,17,8 ,2,18,5 ,2,20,23 ,5,11,22 ,4,12,14 ,2,12,15 ,3,14,13 ,7,17
